Name,Latitude,Longitude
Taco Bell 1807 Beltline Road Southwest Austinville Decatur AL 35601 United States of America,34.5731958,-87.0162027
2136 6th Avenue Southeast Decatur AL 35601 United States of America,34.5736791,-86.9735707
Taco Bell 2928 Point Mallard Parkway Southeast Crowtown Decatur AL 35603 United States of America,34.5420951,-86.9216688
